temperature,200.00 uM  VD11-31-2 5 uM CAXIII,133.33 uM  VD11-31-2 5 uM CAXIII,88.89 uM  VD11-31-2 5 uM CAXIII,59.26 uM  VD11-31-2 5 uM CAXIII,39.51 uM  VD11-31-2 5 uM CAXIII,26.34 uM  VD11-31-2 5 uM CAXIII,17.56 uM  VD11-31-2 5 uM CAXIII,11.71 uM  VD11-31-2 5 uM CAXIII,7.80 uM  VD11-31-2 5 uM CAXIII,5.20 uM  VD11-31-2 5 uM CAXIII,0 uM  VD11-31-2 5 uM CAXIII,200.00 uM  VD12-13 5 uM CAXIII,133.33 uM  VD12-13 5 uM CAXIII,88.89 uM  VD12-13 5 uM CAXIII,59.26 uM  VD12-13 5 uM CAXIII,39.51 uM  VD12-13 5 uM CAXIII,26.34 uM  VD12-13 5 uM CAXIII,17.56 uM  VD12-13 5 uM CAXIII,11.71 uM  VD12-13 5 uM CAXIII,7.80 uM  VD12-13 5 uM CAXIII,5.20 uM  VD12-13 5 uM CAXIII,0 uM  VD12-13 5 uM CAXIII,200.00 uM  VD12-22 5 uM CAXIII,133.33 uM  VD12-22 5 uM CAXIII,88.89 uM  VD12-22 5 uM CAXIII,59.26 uM  VD12-22 5 uM CAXIII,39.51 uM  VD12-22 5 uM CAXIII,26.34 uM  VD12-22 5 uM CAXIII,17.56 uM  VD12-22 5 uM CAXIII,11.71 uM  VD12-22 5 uM CAXIII,7.80 uM  VD12-22 5 uM CAXIII,5.20 uM  VD12-22 5 uM CAXIII,0 uM  VD12-22 5 uM CAXIII
47.5,24.58,21.394,22.737,23.62,21.487,20.363,21.582,22.501,24.254,21.523,26.355,25.652,21.226,22.159,23.5,23.481,22.595,21.62,22.852,24.757,23.012,26.751,24.327,23.11,23.885,23.894,25.915,23.659,23.324,24.483,25.445,23.734,27.613
48.0,24.309,21.161,22.52,23.375,21.336,20.18,21.324,22.361,23.955,21.329,26.001,25.363,21.014,21.809,23.298,23.233,22.362,21.374,22.641,24.455,22.753,26.404,24.114,22.912,23.614,23.626,25.706,23.41,23.119,24.181,25.157,23.669,27.366
48.5,23.941,20.913,22.259,23.169,21.082,19.935,21.108,22.135,23.868,21.26,25.547,25.22,20.748,21.666,22.983,23.022,22.114,21.128,22.382,24.222,22.562,26.148,23.876,22.701,23.412,23.483,25.173,23.181,22.884,23.942,24.864,23.29,26.919
49.0,23.733,20.687,22.094,22.913,20.893,19.793,20.996,21.929,23.612,20.986,25.349,24.951,20.635,21.469,22.738,22.777,21.968,20.922,22.266,24.063,22.383,25.836,23.664,22.462,23.122,23.147,24.921,22.978,22.626,23.711,24.711,23.133,26.705
49.5,23.668,20.75,22.024,22.876,20.873,19.805,21.005,22.022,23.633,21.047,25.308,24.961,20.665,21.483,22.876,22.791,22.025,20.913,22.201,24.117,22.399,25.968,23.634,22.503,23.162,23.194,24.955,22.988,22.746,23.782,24.789,23.146,26.682
50.0,23.491,20.589,21.937,22.776,20.786,19.693,20.808,21.87,23.561,21.024,25.276,24.787,20.542,21.331,22.654,22.641,21.854,20.748,22.078,23.955,22.327,25.816,23.595,22.332,23.064,23.057,24.868,22.923,22.575,23.612,24.601,22.941,26.557
50.5,23.347,20.415,21.785,22.597,20.524,19.525,20.666,21.718,23.294,20.824,24.942,24.445,20.374,21.149,22.419,22.473,21.667,20.571,21.903,23.651,22.03,25.561,23.34,22.128,22.783,22.94,24.659,22.634,22.358,23.394,24.315,22.732,26.361
51.0,23.054,20.232,21.621,22.377,20.422,19.375,20.524,21.449,23.136,20.708,24.615,24.246,20.251,20.989,22.214,22.285,21.461,20.402,21.664,23.611,21.849,25.337,23.154,21.983,22.562,22.689,24.368,22.475,22.075,23.221,23.884,22.51,26.07
51.5,22.753,19.988,21.44,22.266,20.316,19.25,20.341,21.305,22.852,20.488,24.419,24.04,20.055,20.784,22.027,22.115,21.24,20.337,21.487,23.403,21.666,25.153,22.972,21.735,22.442,22.465,24.248,22.18,21.98,23.061,23.731,22.185,25.79
52.0,22.525,19.895,21.249,22.06,20.084,19.086,20.175,21.11,22.802,20.383,24.26,23.865,19.915,20.646,21.804,21.909,21.185,20.069,21.374,23.267,21.544,24.976,22.779,21.612,22.181,22.341,23.981,22.025,21.784,22.886,23.491,21.921,25.565
52.5,22.332,19.704,21.025,21.876,19.991,18.915,20.106,21.028,22.575,20.35,24.083,23.645,19.79,20.451,21.654,21.807,20.952,19.86,21.154,23.043,21.302,24.798,22.651,21.432,21.999,22.111,23.79,21.929,21.602,22.737,23.32,21.768,25.399
53.0,22.044,19.538,20.768,21.71,19.852,18.815,19.931,20.916,22.517,20.197,23.887,23.369,19.611,20.328,21.441,21.646,20.726,19.691,20.994,22.894,21.146,24.654,22.422,21.284,21.82,21.978,23.564,21.731,21.415,22.507,23.107,21.577,25.198
53.5,21.949,19.377,20.648,21.54,19.744,18.696,19.809,20.775,22.358,20.126,23.764,23.135,19.534,20.146,21.24,21.468,20.566,19.467,20.817,22.73,20.922,24.647,22.277,21.069,21.608,21.76,23.266,21.494,21.159,22.316,22.77,21.375,25.112
54.0,21.698,19.233,20.498,21.381,19.565,18.576,19.689,20.723,22.299,20.212,23.718,22.961,19.371,20.016,21.123,21.282,20.397,19.368,20.612,22.488,20.707,24.663,22.015,20.88,21.46,21.59,23.092,21.248,20.959,22.129,22.639,21.244,25.091
54.5,21.421,19.11,20.355,21.268,19.548,18.61,19.678,20.712,22.355,20.272,23.721,22.746,19.251,19.856,20.995,21.075,20.241,19.209,20.426,22.307,20.651,24.814,21.848,20.731,21.238,21.386,22.721,21.041,20.724,21.989,22.389,20.995,25.256
55.0,21.217,18.955,20.253,21.239,19.382,18.572,19.686,20.874,22.438,20.591,24.011,22.593,19.169,19.693,20.757,20.957,20.109,19.028,20.302,22.068,20.441,25.346,21.704,20.592,21.081,21.309,22.559,20.888,20.588,21.877,22.196,20.885,25.461
55.5,21.091,18.814,20.112,21.038,19.442,18.634,19.866,21.226,22.806,21.166,24.603,22.398,19.061,19.595,20.563,20.762,19.899,18.905,20.145,21.971,20.276,26.058,21.601,20.479,20.899,21.09,22.271,20.613,20.28,21.648,21.972,20.809,26.111
56.0,20.945,18.702,19.986,20.986,19.475,18.818,20.222,21.799,23.484,22.027,25.463,22.134,18.89,19.426,20.432,20.703,19.764,18.69,20.027,21.78,20.16,27.233,21.461,20.272,20.841,21.055,22.111,20.484,20.077,21.56,21.929,20.685,27.156
56.5,20.689,18.707,19.914,20.904,19.45,19.125,20.701,22.547,24.493,23.308,26.741,21.967,18.771,19.302,20.221,20.446,19.597,18.582,19.799,21.711,20.063,28.789,21.217,20.178,20.577,20.868,21.927,20.356,19.926,21.475,21.838,20.649,28.423
57.0,20.641,18.645,19.941,21.079,19.781,19.612,21.508,23.627,25.932,25.069,28.441,21.745,18.673,19.193,20.108,20.31,19.429,18.462,19.678,21.499,19.928,30.716,21.092,19.929,20.485,20.713,21.807,20.137,19.704,21.309,21.656,20.629,30.358
57.5,20.478,18.569,20.026,21.261,20.195,20.341,22.548,25.267,27.701,27.138,30.762,21.587,18.542,19.052,20.034,20.18,19.313,18.305,19.536,21.32,19.889,33.252,21.001,19.864,20.384,20.607,21.726,20.067,19.601,21.32,21.679,20.722,32.707
58.0,20.434,18.737,20.188,21.623,20.767,21.332,23.861,27.237,30.0,29.698,33.421,21.441,18.386,18.92,19.856,20.092,19.29,18.208,19.416,21.204,19.788,36.148,20.828,19.644,20.17,20.442,21.595,19.956,19.519,21.135,21.649,20.918,35.462
58.5,20.449,18.785,20.464,22.258,21.67,22.595,25.696,29.576,32.627,32.572,36.285,21.239,18.309,18.817,19.84,19.961,19.102,18.131,19.212,21.044,19.833,39.143,20.711,19.566,20.073,20.369,21.496,19.867,19.494,21.125,21.751,21.312,38.509
59.0,20.401,19.092,20.914,23.003,22.664,24.239,27.966,32.412,35.771,35.695,39.365,20.98,18.187,18.715,19.657,19.827,19.049,17.98,19.169,20.948,19.801,42.245,20.586,19.4,19.929,20.32,21.253,19.783,19.397,21.148,21.998,21.659,41.591
59.5,20.552,19.447,21.492,23.943,23.935,26.057,30.49,35.527,39.197,38.97,42.114,20.909,18.073,18.592,19.423,19.682,18.908,17.909,19.042,20.826,19.69,44.664,20.435,19.293,19.754,20.16,21.229,19.719,19.416,21.173,22.193,22.291,44.354
60.0,20.771,19.956,22.323,25.162,25.507,28.216,33.39,38.924,42.54,41.899,44.123,20.744,17.957,18.397,19.271,19.509,18.814,17.719,18.89,20.759,19.791,46.32,20.415,19.28,19.618,20.107,21.158,19.701,19.393,21.375,22.46,22.894,46.105
60.5,21.191,20.676,23.401,26.642,27.432,30.792,36.506,42.216,45.602,44.253,45.268,20.564,17.929,18.37,19.188,19.443,18.563,17.605,18.827,20.584,19.606,46.948,20.206,19.127,19.586,19.967,21.167,19.688,19.504,21.482,23.071,23.746,47.149
61.0,21.766,21.59,24.76,28.552,29.756,33.624,39.53,45.271,47.962,45.767,45.459,20.432,17.842,18.226,18.969,19.301,18.482,17.527,18.705,20.416,19.742,46.91,20.138,19.089,19.551,19.966,21.179,19.796,19.68,21.783,23.662,24.66,47.112
61.5,22.599,22.735,26.456,30.836,32.335,36.498,42.543,47.67,49.796,46.269,44.914,20.235,17.75,18.179,18.983,19.123,18.368,17.425,18.542,20.381,19.828,45.921,20.002,18.914,19.411,19.911,21.139,19.931,19.868,22.256,24.514,25.719,46.421
62.0,23.565,24.182,28.434,33.25,34.92,39.127,44.818,48.877,50.253,45.803,43.732,20.079,17.772,18.107,18.836,19.056,18.211,17.274,18.481,20.405,20.01,44.649,20.012,18.945,19.454,20.009,21.295,20.232,20.245,22.989,25.462,26.951,45.265
62.5,24.805,25.798,30.492,35.736,37.353,41.02,46.086,48.961,49.721,44.562,42.443,19.998,17.583,18.124,18.715,18.956,18.173,17.251,18.467,20.317,20.149,43.359,19.834,18.857,19.418,20.058,21.43,20.541,20.705,23.643,26.561,28.15,43.792
63.0,26.408,27.931,32.954,38.175,39.345,42.147,46.242,48.16,48.338,43.007,40.834,19.861,17.525,18.001,18.626,18.817,18.064,17.127,18.362,20.256,20.292,41.853,19.875,18.825,19.434,20.257,21.712,20.999,21.279,24.667,27.926,29.523,42.449
63.5,28.224,30.177,35.242,40.208,40.619,42.371,45.479,46.738,46.805,41.457,39.488,19.596,17.468,17.894,18.56,18.719,17.967,17.035,18.308,20.249,20.584,40.423,19.823,18.852,19.503,20.469,21.996,21.608,21.902,25.795,29.272,30.828,40.935
64.0,30.392,32.368,37.361,41.72,41.237,41.739,43.957,44.854,44.916,39.71,38.156,19.562,17.368,17.902,18.488,18.652,17.902,17.049,18.342,20.334,20.817,39.093,19.879,18.926,19.666,20.765,22.434,22.259,22.779,27.093,30.778,32.017,39.578
64.5,32.712,34.57,39.072,42.325,40.593,40.354,42.488,42.959,43.061,37.769,36.966,19.409,17.28,17.817,18.345,18.634,17.844,16.961,18.358,20.433,21.192,37.606,19.904,19.005,19.904,21.184,23.037,23.064,23.733,28.494,32.236,33.1,38.396
