Temperature, 200uM ICPD26 10uM Hsp90aN, 100uM ICPD26 10uM Hsp90aN, 50uM ICPD26 10uM Hsp90aN, 25uM ICPD26 10uM Hsp90aN, 12.5uM ICPD26 10uM Hsp90aN, 6.25uM ICPD26 10uM Hsp90aN, 3.125uM ICPD26 10uM Hsp90aN, 1.5625uM ICPD26 10uM Hsp90aN, 0uM ICPD26 10uM Hsp90aN, 0uM ICPD26 10uM Hsp90aN, 0uM ICPD26 10uM Hsp90aN
50.5,13.83019056,17.14645391,16.74026602,16.19167511,17.53246357,24.31994648,41.50192373,52.7773963,38.97494586,49.25513533,81.55703059
51,13.98137226,17.29610132,16.76834262,16.3022902,17.77991404,25.68688487,44.10858701,55.53908364,41.60738537,52.21519916,85.29811192
51.5,13.9749752,17.28988872,16.80770363,16.29339284,17.93698024,26.95529693,45.95147631,56.96378162,43.20703025,53.68408738,87.85423473
52,13.83372752,17.19183134,16.76489662,16.28161112,18.20121564,27.99445589,46.93544344,57.73039656,43.81200885,54.34228166,88.94429367
52.5,13.73133949,17.12379175,16.60858701,16.13301172,18.30297878,28.90457829,47.2994801,57.44728301,43.75273845,54.19178047,88.18417639
53,13.70612298,17.01184754,16.59914549,16.16072836,18.77502752,29.92857604,47.78598528,57.55572268,43.48764019,53.74063184,88.01767699
53.5,13.56399888,16.95652939,16.49089447,16.09745429,19.14059009,30.63614862,47.79986703,57.00171957,42.6037341,52.66763307,86.32979441
54,13.53312479,16.97627222,16.5219994,16.05260841,19.80890319,31.7097734,48.04619962,56.88980443,41.91418561,52.04699779,84.88708324
54.5,13.58303633,16.94056611,16.50274956,16.08803558,20.71806414,32.65606752,48.27277409,56.64911879,41.16895007,51.10481187,83.82203285
55,13.46972551,16.91381196,16.43930724,16.16780564,21.62244093,33.55400227,48.36992564,56.12319117,40.19238105,49.83567941,82.1985903
55.5,13.23095917,16.72519591,16.27908751,16.00322619,22.67477938,34.14206149,47.67169124,55.23982096,38.73091889,48.16292276,79.45045723
56,13.27860431,16.64039935,16.33466556,16.18025066,24.02736451,35.07497462,47.74547951,54.70065069,38.11764706,47.16389279,78.67798182
56.5,13.25713995,16.85840215,16.50897054,16.63767453,26.05488888,36.76273982,48.30192518,54.65028865,37.78632283,46.79013759,78.25272462
57,13.30434119,16.92301823,16.59375034,16.98217238,27.98798059,37.7659702,48.26461324,54.16154609,36.89967193,45.92215356,76.61287861
57.5,13.25976305,16.85345097,16.70732106,17.75720122,29.96613671,38.98429411,47.9064622,53.3619985,36.1991811,45.039074,75.55831671
58,13.24361028,16.90274553,16.91543959,18.78049897,32.03288319,39.99867755,47.50567812,52.56815207,35.52877961,44.11617202,74.32750947
58.5,13.26194291,16.98141334,17.26285845,20.26113273,34.05217198,40.65715521,47.16964218,51.68274314,34.66758221,43.37333377,73.20048447
59,13.25163888,17.0327742,17.71060175,22.35660334,35.86887414,41.39205877,46.51834897,50.36669337,33.78271153,42.37491417,71.67648966
59.5,13.34859236,17.17449865,18.68701985,25.13095511,37.54209855,41.80068196,45.58897281,49.37463442,33.10373592,41.58048254,71.08796826
60,13.3678422,17.40901808,20.19731089,28.02431271,38.98654663,41.79589712,44.72600519,48.28870069,32.60002834,40.81724778,69.97460463
60.5,13.57700818,17.70574737,22.56748302,30.42907196,39.62495504,41.43396658,43.70216569,47.02102811,31.74476743,39.99643956,68.53284504
61,13.95702042,18.27582589,25.60545256,32.40427689,39.91505811,40.91611353,42.71381704,45.82258844,31.11587047,39.11203392,67.33844511
61.5,14.64916965,19.37179781,29.28158618,34.02718286,39.77548892,40.0041708,41.86650536,44.75432975,30.54164441,38.36833371,66.35280766
62,15.55555556,20.8797413,32.54858364,34.67673762,39.2620737,39.41405356,40.94465083,43.88623812,30.04327023,37.70901045,65.36058976
62.5,17.05734849,23.01741289,34.78381236,34.3478403,38.63299509,38.54551003,40.01037613,42.71250913,29.21655822,36.91651071,64.05405284
63,19.04924556,25.81938404,36.48442308,34.0831871,37.88920776,37.67886802,39.15791998,41.80252646,28.76090873,36.26786123,63.23349573
63.5,21.09958859,28.58498004,36.93489847,33.68408738,37.06296526,36.93634053,38.36405333,40.89494163,28.23102159,35.60835177,62.17523226
64,22.88982399,30.65319513,36.52947011,32.81507155,36.20133586,35.81855849,37.31225045,39.7981114,27.63021521,34.8623827,60.94006474
64.5,23.99692472,32.02223122,36.08829105,32.12799776,35.46412858,35.12703136,36.51836805,38.83065029,27.00583311,34.12316378,59.98833775
65,24.50064851,32.47215229,35.32331324,31.73662928,34.58138261,34.45334554,35.65613794,38.0722769,26.52046616,33.47928139,59.36204573
